,date,description,link,name
0,2025-05-30T00:00:00Z,"- Chúng tôi tiếp tục duy trì khuyến nghị MUA đối với Ngân hàng TMCP Ngoại thương Việt Nam (VCB) nhưng điều chỉnh giảm 4,4% giá mục tiêu của chúng tôi ",https://www.vietcap.com.vn/trung-tam-phan-tich/vcb-mua-28-6-tang-truong-tin-dung-cai-thien-se-ho-tro-loi-nhuan-trong-boi-canh-con-nhieu-lo-ngai-ve-thue-quan-cap-nhat,"VCB [MUA +28,6%] - Tăng trưởng tín dụng cải thiện sẽ hỗ trợ lợi nhuận trong bối cảnh còn nhiều lo ngại về thuế quan - Cập nhật"
1,2025-04-29T00:00:00Z,"Ngân hàng TMCP Ngoại thương Việt Nam (VCB) công bố KQKD quý 1/2025 với tổng thu nhập từ HĐKD (TOI) đạt 17,3 nghìn tỷ đồng (-0,1% YoY) và lợi nhuận trư",https://www.vietcap.com.vn/trung-tam-phan-tich/vcb-nim-tiep-tuc-chiu-ap-luc-trong-khi-chat-luong-tai-san-van-vung-chac-bao-cao-kqkd,VCB - NIM tiếp tục chịu áp lực trong khi chất lượng tài sản vẫn vững chắc - Báo cáo KQKD
2,2025-04-28T00:00:00Z,Chúng tôi đã tham dự ĐHCĐ của Ngân hàng TMCP Ngoại thương Việt Nam (VCB) tại Hà Nội vào ngày 26/4/2025. Nội dung chính bao gồm (1) đề xuất các mục tiê,https://www.vietcap.com.vn/trung-tam-phan-tich/vcb-muc-tieu-tang-truong-lntt-than-trong-trong-boi-canh-bat-on-thue-quan-tang-truong-tin-dung-tich-cuc-tro-lai-bao-cao-dhcd,VCB - Mục tiêu tăng trưởng LNTT thận trọng trong bối cảnh bất ổn thuế quan; tăng trưởng tín dụng tích cực trở lại - Báo cáo ĐHCĐ
3,2025-03-04T00:00:00Z,- Chúng tôi duy trì xếp hạng MUA và giá mục tiêu 114.500 đồng/cổ phiếu đối với Ngân hàng TMCP Ngoại thương Việt Nam (VCB). - Chúng tôi điều chỉnh giảm,https://www.vietcap.com.vn/trung-tam-phan-tich/vcb-mua-23-0-ngan-hang-dau-nganh-voi-dinh-gia-hap-dan-cap-nhat,"VCB [MUA +23,0%] - Ngân hàng đầu ngành với định giá hấp dẫn - Cập nhật"
4,2025-02-03T00:00:00Z,"VCB công bố KQKD năm 2024 với LNTT đạt 42,2 nghìn tỷ đồng (+2% YoY), hoàn thành 98% dự báo của chúng tôi. Kết quả này tương ứng LNTT quý 4/2024 đạt 10",https://www.vietcap.com.vn/trung-tam-phan-tich/vcb-chi-phi-tin-dung-thap-ho-tro-loi-nhuan-chat-luong-tai-san-van-dan-dau-bao-cao-kqkd,VCB – Chi phí tín dụng thấp hỗ trợ lợi nhuận; chất lượng tài sản vẫn dẫn đầu - Báo cáo KQKD
5,2024-10-31T00:00:00Z,"Ngân hàng TMCP Ngoại thương Việt Nam (VCB) công bố KQKD 9 tháng đầu năm 2024 (9T 2024) với thu nhập từ HĐKD (TOI) đạt 50,9 nghìn tỷ đồng (-1,7% YoY) v",https://www.vietcap.com.vn/trung-tam-phan-tich/vcb-chi-phi-du-phong-giam-bu-dap-cho-nim-thap-bao-cao-kqkd,"VCB – Chi phí dự phòng giảm, bù đắp cho NIM  thấp - Báo cáo KQKD"
6,2024-09-12T00:00:00Z,- Chúng tôi duy trì khuyến nghị MUA và giá mục tiêu là 110.000 đồng/cổ phiếu cho Ngân hàng TMCP Ngoại thương Việt Nam (VCB). Chúng tôi gần như giữ ngu,https://www.vietcap.com.vn/trung-tam-phan-tich/vcb-mua-20-0-nim-du-kien-cai-thien-trong-nua-cuoi-nam-2024-cap-nhat,"VCB [MUA +20,0%] - NIM dự kiến cải thiện trong nửa cuối năm 2024 - Cập nhật"
7,2024-07-31T00:00:00Z,"Ngân hàng TMCP Ngoại thương Việt Nam (VCB) công bố KQKD nửa đầu năm 2024 (6T 2024) với thu nhập từ HĐKD (TOI) đạt 34,0 nghìn tỷ đồng (-5,4% YoY) và LN",https://www.vietcap.com.vn/trung-tam-phan-tich/vcb-noii-yeu-hoan-nhap-chi-phi-du-phong-cho-cac-khoan-cho-vay-lien-ngan-hang-ho-tro-loi-nhuan-bao-cao-kqkd,VCB – NOII yếu; hoàn nhập chi phí dự phòng cho các khoản cho vay liên ngân hàng hỗ trợ lợi nhuận – Báo cáo KQKD
8,2024-06-04T00:00:00Z,"- Chúng tôi tăng 4,8% giá mục tiêu cho Ngân hàng TMCP Ngoại thương Việt Nam (VCB) lên 110.000 đồng/cổ phiếu và nâng khuyến nghị từ KHẢ QUAN lên MUA. -",https://www.vietcap.com.vn/trung-tam-phan-tich/vcb-mua-20-9-tang-truong-tin-dung-du-kien-tang-toc-tu-quy-2-2024-cap-nhat,"VCB [MUA +20,9%] - Tăng trưởng tín dụng dự kiến tăng tốc từ quý 2/2024 - Cập nhật"
9,2024-05-02T00:00:00Z,- Chúng tôi đã tham dự ĐHCĐ của Ngân hàng TMCP Ngoại thương Việt Nam (VCB) tại Hà Nội vào ngày 27/04. Nội dung chính của ĐHCĐ bao gồm (1) xem xét KQKD,https://www.vietcap.com.vn/trung-tam-phan-tich/vcb-ke-hoach-loi-nhuan-than-trong-trong-boi-canh-kinh-te-nhieu-thach-thuc-kqkd-quy-1-2024-thap-hon-ky-vong-bao-cao-dhcd-kqkd,VCB – Kế hoạch lợi nhuận thận trọng trong bối cảnh kinh tế nhiều thách thức; KQKD quý 1/2024 thấp hơn kỳ vọng – Báo cáo ĐHCĐ & KQKD
